phenotype	variable_type	source	n_non_missing	n_missing	n_controls	n_cases
M13_BAKERCYST	categorical	finngen	361194	0	360971	223
C3_CORPUS_UTERI	categorical	finngen	361194	0	359972	1222
AB1_VIRAL_CNS	categorical	finngen	361194	0	360997	197
D3_OTHERANAEMIA	categorical	finngen	361194	0	356900	4294
L12_ATROPHICSKIN	categorical	finngen	361194	0	359437	1757
C_MALE_GENITAL	categorical	finngen	361194	0	354399	6795
I9_ENDOCARD	categorical	finngen	361194	0	360979	215
C3_LYMPHNODES_SECONDARY_NAS	categorical	finngen	361194	0	361087	107
DM_BCKGRND_RETINOPAT	categorical	finngen	361194	0	361086	108
C3_TESTIS	categorical	finngen	361194	0	360762	432
C_DIFFICILE_ENTEROCOLITIS	categorical	finngen	361194	0	361010	184
H8_OTIMEDNAS	categorical	finngen	361194	0	360928	266
COPD_OPPORTUNIST_INFECTIONS	categorical	finngen	361194	0	360717	477
D3_IMMUNEMECHANISMOTHER	categorical	finngen	361194	0	361022	172
I9_LBBB	categorical	finngen	361194	0	361056	138
M13_OTHCONN	categorical	finngen	361194	0	360960	234
C_ENDOCRINE	categorical	finngen	361194	0	360765	429
G6_MONOOTHUNS	categorical	finngen	361194	0	361050	144
I9_AVBLOCK	categorical	finngen	361194	0	360585	609
C3_RECTOISIGMOID_JUNCTION	categorical	finngen	361194	0	360861	333
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC	categorical	finngen	361194	0	360734	460
H7_EYEPOSTOP	categorical	finngen	361194	0	361060	134
M13_OTHERJOINT	categorical	finngen	361194	0	333847	27347
AB1_OTHER_VIRAL	categorical	finngen	361194	0	360014	1180
G6_CONCUS	categorical	finngen	361194	0	361057	137
I9_PERICARD	categorical	finngen	361194	0	361039	155
PRIM_KNEEARTHROSIS	categorical	finngen	361194	0	360345	849
H7_VISDISTNAS	categorical	finngen	361194	0	360893	301
H8_BPV	categorical	finngen	361194	0	361046	148
M13_ENTESOPATHYOTH	categorical	finngen	361194	0	360170	1024
H7_STRABOTH	categorical	finngen	361194	0	360523	671
I9_ARTOTH	categorical	finngen	361194	0	360111	1083
IX_CIRCULATORY	categorical	finngen	361194	0	300690	60504
VOCALCORDDYS	categorical	finngen	361194	0	360733	461
C_NONFOLLICULAR_LYMPHOMA	categorical	finngen	361194	0	360493	701
G6_SLEEPAPNO	categorical	finngen	361194	0	358945	2249
I9_OTHOTH	categorical	finngen	361194	0	361053	141
K11_CHOLANGI	categorical	finngen	361194	0	360907	287
L12_PYOGENGRANUL	categorical	finngen	361194	0	360935	259
CHIRHEP_NAS	categorical	finngen	361194	0	361010	184
M13_SOFTTISSUENAS	categorical	finngen	361194	0	358264	2930
GLOMER_NEPHRITIS	categorical	finngen	361194	0	360565	629
MENINGITIS	categorical	finngen	361194	0	361060	134
H7_LACRIGLAND	categorical	finngen	361194	0	361063	131
M13_SOFTOVERUSE	categorical	finngen	361194	0	360062	1132
H8_EXTDISNAS	categorical	finngen	361194	0	361084	110
RHEU_ARTHRITIS_OTH	categorical	finngen	361194	0	359982	1212
L12_PIGMENTNAS	categorical	finngen	361194	0	361017	177
D3_SCNDPOLYCYTHAEMIA	categorical	finngen	361194	0	361035	159
L12_PSORI_ARTHRO	categorical	finngen	361194	0	360954	240
M13_ENTESOPATHYLOW	categorical	finngen	361194	0	360892	302
L12_NONIONRADISKINNAS	categorical	finngen	361194	0	361068	126
D3_ANAEMIA_IRONDEF	categorical	finngen	361194	0	357408	3786
E4_HYTHYNAS	categorical	finngen	361194	0	361066	128
I9_INTRACRA	categorical	finngen	361194	0	359941	1253
F5_ALCOHOLAC	categorical	finngen	361194	0	361063	131
CHRONLARGE	categorical	finngen	361194	0	360858	336
H7_STENOLACRI	categorical	finngen	361194	0	360372	822
G6_DEMYEL	categorical	finngen	361194	0	360406	788
NECROVASC_FG	categorical	finngen	361194	0	361076	118
INFLUENZA	categorical	finngen	361194	0	361047	147
HYPOTHYROIDISM	categorical	finngen	361194	0	361057	137
ASTHMA_MEDICATIO_COMORB	categorical	finngen	361194	0	341100	20094
H7_OTHERCONJ	categorical	finngen	361194	0	360742	452
E4_OBESITY	categorical	finngen	361194	0	360746	448
M13_POLYARTHROPATHIES	categorical	finngen	361194	0	357919	3275
D3_HYPERGAMMAGLONAS	categorical	finngen	361194	0	361052	142
M13_DEQUERVAIN	categorical	finngen	361194	0	360952	242
C_EYE_BRAIN_NEURO	categorical	finngen	361194	0	360677	517
G6_MYONEU	categorical	finngen	361194	0	360960	234
H7_ECTROPION	categorical	finngen	361194	0	360877	317
I9_HYPTENS	categorical	finngen	361194	0	359957	1237
IBD_BACT_INTEST_INFECTIONS	categorical	finngen	361194	0	360270	924
I9_VASCINT	categorical	finngen	361194	0	360922	272
C3_LIVER_INTRAHEPATIC_BILE_DUCTS	categorical	finngen	361194	0	360990	204
IV_ENDOCRIN_NUTRIT	categorical	finngen	361194	0	353976	7218
F5_SCHIZO	categorical	finngen	361194	0	360733	461
G6_ULLNLE	categorical	finngen	361194	0	360373	821
I9_AORTANEUR	categorical	finngen	361194	0	360605	589
L12_FOREIGNBODYGRANULOMA	categorical	finngen	361194	0	361090	104
K11_APPENDIX	categorical	finngen	361194	0	358241	2953
ENDOMETRIOSIS_UTERUS	categorical	finngen	361194	0	360689	505
C3_SMALL_INTESTINE	categorical	finngen	361194	0	361053	141
M13_ALGONEURO	categorical	finngen	361194	0	361071	123
IPF	categorical	finngen	361194	0	360856	338
L12_HYPETROPHICSCAR	categorical	finngen	361194	0	361041	153
M13_PREPATELLARBURSITIS	categorical	finngen	361194	0	360972	222
K11_OTHGASTR	categorical	finngen	361194	0	350676	10518
J10_ASTHMA_MAIN	categorical	finngen	361194	0	359201	1993
H7_MACULADEGEN	categorical	finngen	361194	0	360181	1013
M13_DORSOPATHYOTH	categorical	finngen	361194	0	360834	360
C_CORPUS_UTERI	categorical	finngen	361194	0	359972	1222
C_PRIMARY_LYMPHOID_HEMATOPOIETIC	categorical	finngen	361194	0	358164	3030
L12_GRANULOMASKINNAS	categorical	finngen	361194	0	360998	196
C_TESTIS	categorical	finngen	361194	0	360762	432
M13_MUSCULOSKELEOTH	categorical	finngen	361194	0	360695	499
STILL_ADULT	categorical	finngen	361194	0	359708	1486
M13_SPONDYLOPATHY	categorical	finngen	361194	0	356801	4393
C_LYMPHOID_LEUKAEMIA	categorical	finngen	361194	0	360676	518
MEMLOSS	categorical	finngen	361194	0	360992	202
C3_OVARY	categorical	finngen	361194	0	360350	844
F5_ALLANXIOUS	categorical	finngen	361194	0	360662	532
H8_CONSENHEARINGLOSS	categorical	finngen	361194	0	360895	299
AB1_INTESTINAL_INFECTIONS	categorical	finngen	361194	0	356890	4304
XIII_MUSCULOSKELET	categorical	finngen	361194	0	284095	77099
C_NONHODGKIN_NAS	categorical	finngen	361194	0	360801	393
C_ANUS_ANALCANAL	categorical	finngen	361194	0	361067	127
H7_PTERYGIUM	categorical	finngen	361194	0	361070	124
SCND_OTH_COXARTHROSIS	categorical	finngen	361194	0	361086	108
I9_ANEURYSM	categorical	finngen	361194	0	360969	225
I9_HEARTFAIL	categorical	finngen	361194	0	359789	1405
C_SMALL_INTESTINE	categorical	finngen	361194	0	361053	141
COPD_EXCL	categorical	finngen	361194	0	334484	26710
G6_DEGENOTH	categorical	finngen	361194	0	361088	106
C_EYE_ADNEXA	categorical	finngen	361194	0	361079	115
H7_BCKRNDRETINOPAT	categorical	finngen	361194	0	361086	108
H7_PARASTRAB	categorical	finngen	361194	0	361054	140
I9_ARTEMBTHRLOW	categorical	finngen	361194	0	360832	362
C_CERVIX_UTERI	categorical	finngen	361194	0	360826	368
H7_EYEADNEXOTH	categorical	finngen	361194	0	361064	130
I9_OTHILLHEART	categorical	finngen	361194	0	360859	335
H7_CHALAZION	categorical	finngen	361194	0	359776	1418
PNEUMONIA	categorical	finngen	361194	0	355294	5900
M13_RADICULOPATHY	categorical	finngen	361194	0	360662	532
L12_URTICA_NAS	categorical	finngen	361194	0	361088	106
C3_RECTUM	categorical	finngen	361194	0	360024	1170
M13_THORACISPINEPAIN	categorical	finngen	361194	0	361030	164
C3_PANCREAS	categorical	finngen	361194	0	360754	440
C3_THYROID_GLAND	categorical	finngen	361194	0	360800	394
C3_SECONDARY_RESPIRATORY_DIGESTIVE	categorical	finngen	361194	0	361085	109
L12_HYPERTROPHICNAS	categorical	finngen	361194	0	360716	478
V_MENTAL_BEHAV	categorical	finngen	361194	0	356892	4302
M13_HALLUXRIGIDUS	categorical	finngen	361194	0	360064	1130
M13_DEFORMDORSO	categorical	finngen	361194	0	360285	909
ULCERNAS	categorical	finngen	361194	0	359291	1903
I9_CEREBDOTH	categorical	finngen	361194	0	361017	177
H7_EYELIDNAS	categorical	finngen	361194	0	359008	2186
H8_OTALGIA	categorical	finngen	361194	0	361059	135
D3_THROMBOCYTOPENIANAS	categorical	finngen	361194	0	360964	230
F5_DEPRESSIO	categorical	finngen	361194	0	360049	1145
M13_LATERALEPICOND	categorical	finngen	361194	0	360669	525
M13_SHOULDER	categorical	finngen	361194	0	353951	7243
PRIM_COXARTHROSIS	categorical	finngen	361194	0	360615	579
AMN2	categorical	finngen	361194	0	360911	283
ULCEROTH	categorical	finngen	361194	0	361035	159
CAMPYLOENTERITIS	categorical	finngen	361194	0	360905	289
DM_HYPOGLYC	categorical	finngen	361194	0	360809	385
G6_EPIPAROX	categorical	finngen	361194	0	355776	5418
M13_HALLUXVALGUS	categorical	finngen	361194	0	355824	5370
L12_HIDRADENITISSUP	categorical	finngen	361194	0	361059	135
I9_STR_EXH	categorical	finngen	361194	0	357880	3314
C_DIGESTIVE_ORGANS	categorical	finngen	361194	0	355504	5690
C3_STOMACH	categorical	finngen	361194	0	360843	351
I9_K_CARDIAC	categorical	finngen	361194	0	359597	1597
G6_DIFBRAININJ	categorical	finngen	361194	0	361079	115
I9_HYPTENSPREG	categorical	finngen	361194	0	360451	743
M13_SCIATICA	categorical	finngen	361194	0	360041	1153
H7_XANTHELASMA	categorical	finngen	361194	0	361041	153
C_MESTOTHEL_SOFTTISSUE	categorical	finngen	361194	0	360680	514
G6_SAHTRAU	categorical	finngen	361194	0	361070	124
C_URINARY_TRACT	categorical	finngen	361194	0	359353	1841
G6_PLANTAR	categorical	finngen	361194	0	360215	979
PULM_MEDICATIO_COMORB	categorical	finngen	361194	0	339488	21706
C_LYMPHOMA	categorical	finngen	361194	0	359442	1752
C_COLON	categorical	finngen	361194	0	358757	2437
KRA_PSY_ANXIETY	categorical	finngen	361194	0	360102	1092
M13_GIANTCELL	categorical	finngen	361194	0	360963	231
E4_DM1NOCOMP	categorical	finngen	361194	0	360947	247
AB1_OTHER_BACTERIAL	categorical	finngen	361194	0	359232	1962
C_PANCREAS	categorical	finngen	361194	0	360754	440
LUNG_CANCER	categorical	finngen	361194	0	359187	2007
C_MULTIPLE_MYELOMA_PLASMA_CELL	categorical	finngen	361194	0	360766	428
G6_POLYNEU	categorical	finngen	361194	0	360634	560
G6_CARPTU	categorical	finngen	361194	0	353221	7973
G6_POLYOTHUNS	categorical	finngen	361194	0	360815	379
C_STOMACH	categorical	finngen	361194	0	360843	351
M13_MENISCUSDERANGEMENTS	categorical	finngen	361194	0	350363	10831
C_MESOTHELIOMA	categorical	finngen	361194	0	361029	165
M13_ROTATORCUFF	categorical	finngen	361194	0	358909	2285
M13_GANGLION	categorical	finngen	361194	0	358955	2239
BRONCHITIS	categorical	finngen	361194	0	356911	4283
XI_DIGESTIVE	categorical	finngen	361194	0	245301	115893
K11_ACHAL	categorical	finngen	361194	0	361075	119
G6_NEUATR	categorical	finngen	361194	0	360982	212
ASTHMA_OPPORTUNIST_INFECTIONS	categorical	finngen	361194	0	360685	509
M13_ARTHROSIS	categorical	finngen	361194	0	336217	24977
H8_LABYRINTHITIS	categorical	finngen	361194	0	360677	517
D3_COAGOTHER	categorical	finngen	361194	0	361080	114
AB1_INFECTIONS	categorical	finngen	361194	0	353664	7530
NAFLD	categorical	finngen	361194	0	360919	275
I9_PULMOTHHD	categorical	finngen	361194	0	361027	167
ASTHMA_HOSPITAL1	categorical	finngen	361194	0	359208	1986
L12_EPIDERMALTHICKOTH	categorical	finngen	361194	0	360766	428
FIBRO_COMORB	categorical	finngen	361194	0	358889	2305
H8_MYRINGNAS	categorical	finngen	361194	0	361032	162
H7_POSTOPEYENAS	categorical	finngen	361194	0	361069	125
L12_ERYTHEMATOUSOTH	categorical	finngen	361194	0	361076	118
C3_UNCERTAIN_SECONDARY	categorical	finngen	361194	0	360771	423
M13_PLANTARFASC	categorical	finngen	361194	0	360994	200
C_TONSIL	categorical	finngen	361194	0	361019	175
I9_RHEUVALV	categorical	finngen	361194	0	360767	427
K11_OTHDISOES	categorical	finngen	361194	0	360009	1185
I9_HYPTENSHR	categorical	finngen	361194	0	360818	376
M13_PATELLAOTH	categorical	finngen	361194	0	360819	375
L12_SKINSUBCUTISNAS	categorical	finngen	361194	0	357393	3801
G6_BELLPA	categorical	finngen	361194	0	360856	338
H7_DIVERGSTRAB	categorical	finngen	361194	0	360918	276
M13_PATHODISLOCATIO	categorical	finngen	361194	0	360971	223
M13_METATARSALGIA	categorical	finngen	361194	0	361018	176
E4_DM1	categorical	finngen	361194	0	360611	583
I9_UAP	categorical	finngen	361194	0	357755	3439
G6_NEURODEG	categorical	finngen	361194	0	360952	242
C3_OTHER_SKIN	categorical	finngen	361194	0	346792	14402
M13_FLEXION	categorical	finngen	361194	0	361077	117
I9_CARDMYOOTH	categorical	finngen	361194	0	361030	164
K11_OTHILEUS	categorical	finngen	361194	0	359844	1350
K11_GALLBILPANC	categorical	finngen	361194	0	347272	13922
M13_LOOSEJOINT	categorical	finngen	361194	0	361037	157
I9_PHLETHROMBDVTLOW	categorical	finngen	361194	0	359078	2116
G6_GUILBAR	categorical	finngen	361194	0	361039	155
KRA_PSY_SCHIZODEL	categorical	finngen	361194	0	360733	461
D3_BLOODNAS	categorical	finngen	361194	0	361071	123
C_KIDNEY_NOTRENALPELVIS	categorical	finngen	361194	0	360323	871
L12_INFECT_SKIN_OTHER	categorical	finngen	361194	0	360701	493
I9_CHD	categorical	finngen	361194	0	351037	10157
M13_SOFTTISSUEOTH	categorical	finngen	361194	0	353961	7233
134	ordinal	phesant	361136	58	NA	NA
135	ordinal	phesant	361141	53	NA	NA
136	ordinal	phesant	361141	53	NA	NA
137	ordinal	phesant	361141	53	NA	NA
398	ordinal	phesant	360686	508	NA	NA
403	ordinal	phesant	359678	1516	NA	NA
709	ordinal	phesant	358963	2231	NA	NA
728	ordinal	phesant	358754	2440	NA	NA
738	ordinal	phesant	311028	50166	NA	NA
777	ordinal	phesant	201267	159927	NA	NA
806	ordinal	phesant	204956	156238	NA	NA
816	ordinal	phesant	205000	156194	NA	NA
826	ordinal	phesant	204783	156411	NA	NA
845	ordinal	phesant	240547	120647	NA	NA
864	ordinal	phesant	355030	6164	NA	NA
884	ordinal	phesant	343943	17251	NA	NA
894	ordinal	phesant	268826	92368	NA	NA
904	ordinal	phesant	344084	17110	NA	NA
924	ordinal	phesant	358974	2220	NA	NA
943	ordinal	phesant	357720	3474	NA	NA
971	ordinal	phesant	257478	103716	NA	NA
981	ordinal	phesant	257330	103864	NA	NA
991	ordinal	phesant	36891	324303	NA	NA
1001	ordinal	phesant	36919	324275	NA	NA
1011	ordinal	phesant	180494	180700	NA	NA
1021	ordinal	phesant	179548	181646	NA	NA
1031	ordinal	phesant	358821	2373	NA	NA
1050	ordinal	phesant	327717	33477	NA	NA
1060	ordinal	phesant	284889	76305	NA	NA
1070	ordinal	phesant	341859	19335	NA	NA
1080	ordinal	phesant	280750	80444	NA	NA
1090	ordinal	phesant	241357	119837	NA	NA
1100	ordinal	phesant	327192	34002	NA	NA
1110	ordinal	phesant	356618	4576	NA	NA
1120	ordinal	phesant	301157	60037	NA	NA
1130	ordinal	phesant	302733	58461	NA	NA
1140	ordinal	phesant	298239	62955	NA	NA
1160	ordinal	phesant	359020	2174	NA	NA
1170	ordinal	phesant	360231	963	NA	NA
1180	ordinal	phesant	322488	38706	NA	NA
1190	ordinal	phesant	360855	339	NA	NA
1200	ordinal	phesant	360738	456	NA	NA
1220	ordinal	phesant	359752	1442	NA	NA
1239	ordinal	phesant	360797	397	NA	NA
1249	ordinal	phesant	332141	29053	NA	NA
1259	ordinal	phesant	332573	28621	NA	NA
1269	ordinal	phesant	326676	34518	NA	NA
1279	ordinal	phesant	306191	55003	NA	NA
1289	ordinal	phesant	350404	10790	NA	NA
1299	ordinal	phesant	339601	21593	NA	NA
1309	ordinal	phesant	348284	12910	NA	NA
1319	ordinal	phesant	329134	32060	NA	NA
1329	ordinal	phesant	359340	1854	NA	NA
1339	ordinal	phesant	359682	1512	NA	NA
1349	ordinal	phesant	360468	726	NA	NA
1359	ordinal	phesant	360390	804	NA	NA
1369	ordinal	phesant	359784	1410	NA	NA
1379	ordinal	phesant	359002	2192	NA	NA
1389	ordinal	phesant	359115	2079	NA	NA
1408	ordinal	phesant	352458	8736	NA	NA
1458	ordinal	phesant	345019	16175	NA	NA
1478	ordinal	phesant	360954	240	NA	NA
1498	ordinal	phesant	334659	26535	NA	NA
1518	ordinal	phesant	357256	3938	NA	NA
1528	ordinal	phesant	333363	27831	NA	NA
1548	ordinal	phesant	359752	1442	NA	NA
1558	ordinal	phesant	360726	468	NA	NA
1568	ordinal	phesant	257773	103421	NA	NA
1578	ordinal	phesant	257623	103571	NA	NA
1588	ordinal	phesant	258256	102938	NA	NA
1598	ordinal	phesant	257426	103768	NA	NA
1608	ordinal	phesant	258191	103003	NA	NA
1628	ordinal	phesant	334989	26205	NA	NA
1687	ordinal	phesant	354996	6198	NA	NA
1697	ordinal	phesant	355331	5863	NA	NA
1717	ordinal	phesant	356530	4664	NA	NA
1727	ordinal	phesant	353697	7497	NA	NA
1737	ordinal	phesant	269734	91460	NA	NA
1757	ordinal	phesant	330409	30785	NA	NA
1873	ordinal	phesant	355326	5868	NA	NA
1883	ordinal	phesant	355390	5804	NA	NA
2050	ordinal	phesant	345957	15237	NA	NA
2060	ordinal	phesant	349631	11563	NA	NA
2070	ordinal	phesant	347965	13229	NA	NA
2080	ordinal	phesant	350580	10614	NA	NA
2110	ordinal	phesant	350618	10576	NA	NA
2149	ordinal	phesant	296609	64585	NA	NA
2178	ordinal	phesant	359681	1513	NA	NA
2237	ordinal	phesant	360817	377	NA	NA
2267	ordinal	phesant	358559	2635	NA	NA
2277	ordinal	phesant	340643	20551	NA	NA
2296	ordinal	phesant	360344	850	NA	NA
2306	ordinal	phesant	355129	6065	NA	NA
2355	ordinal	phesant	81408	279786	NA	NA
2375	ordinal	phesant	161470	199724	NA	NA
2385	ordinal	phesant	154459	206735	NA	NA
2405	ordinal	phesant	165492	195702	NA	NA
2624	ordinal	phesant	145190	216004	NA	NA
2634	ordinal	phesant	145373	215821	NA	NA
2684	ordinal	phesant	115670	245524	NA	NA
2704	ordinal	phesant	149196	211998	NA	NA
2714	ordinal	phesant	188644	172550	NA	NA
2744	ordinal	phesant	155202	205992	NA	NA
2887	ordinal	phesant	84456	276738	NA	NA
2926	ordinal	phesant	81026	280168	NA	NA
2936	ordinal	phesant	87233	273961	NA	NA
3426	ordinal	phesant	33373	327821	NA	NA
3456	ordinal	phesant	25348	335846	NA	NA
3466	ordinal	phesant	25414	335780	NA	NA
3476	ordinal	phesant	25487	335707	NA	NA
3486	ordinal	phesant	27467	333727	NA	NA
3496	ordinal	phesant	27178	334016	NA	NA
3637	ordinal	phesant	172505	188689	NA	NA
3647	ordinal	phesant	172650	188544	NA	NA
3669	ordinal	phesant	9387	351807	NA	NA
3710	ordinal	phesant	32847	328347	NA	NA
3829	ordinal	phesant	60453	300741	NA	NA
3839	ordinal	phesant	60300	300894	NA	NA
3849	ordinal	phesant	60099	301095	NA	NA
4260	ordinal	phesant	37575	323619	NA	NA
4269	ordinal	phesant	117852	243342	NA	NA
4270	ordinal	phesant	116790	244404	NA	NA
4276	ordinal	phesant	117903	243291	NA	NA
4277	ordinal	phesant	116755	244439	NA	NA
4282	ordinal	phesant	36884	324310	NA	NA
4283	ordinal	phesant	37646	323548	NA	NA
4407	ordinal	phesant	26229	334965	NA	NA
4418	ordinal	phesant	26198	334996	NA	NA
4429	ordinal	phesant	26285	334909	NA	NA
4440	ordinal	phesant	26193	335001	NA	NA
4451	ordinal	phesant	26328	334866	NA	NA
4462	ordinal	phesant	26359	334835	NA	NA
4526	ordinal	phesant	119535	241659	NA	NA
4537	ordinal	phesant	82190	279004	NA	NA
4548	ordinal	phesant	119567	241627	NA	NA
4559	ordinal	phesant	118818	242376	NA	NA
4570	ordinal	phesant	118649	242545	NA	NA
4581	ordinal	phesant	119394	241800	NA	NA
4620	ordinal	phesant	45695	315499	NA	NA
4674	ordinal	phesant	119300	241894	NA	NA
4814	ordinal	phesant	34018	327176	NA	NA
4825	ordinal	phesant	118972	242222	NA	NA
4836	ordinal	phesant	118399	242795	NA	NA
5057	ordinal	phesant	103453	257741	NA	NA
5221	ordinal	phesant	77983	283211	NA	NA
5237	ordinal	phesant	75410	285784	NA	NA
5251	ordinal	phesant	66256	294938	NA	NA
5276	ordinal	phesant	77739	283455	NA	NA
5292	ordinal	phesant	75398	285796	NA	NA
5306	ordinal	phesant	65551	295643	NA	NA
5364	ordinal	phesant	85420	275774	NA	NA
5386	ordinal	phesant	30001	331193	NA	NA
5507	ordinal	phesant	25569	335625	NA	NA
670_1	binary	phesant	360088	1106	33234	326854
670_2	binary	phesant	360088	1106	328237	31851
670_3	binary	phesant	360088	1106	359604	484
670_4	binary	phesant	360088	1106	359229	859
680_1	binary	phesant	356340	4854	162982	193358
680_2	binary	phesant	356340	4854	225107	131233
680_3	binary	phesant	356340	4854	337372	18968
680_4	binary	phesant	356340	4854	346887	9453
680_5	binary	phesant	356340	4854	355421	919
680_6	binary	phesant	356340	4854	353931	2409
1150_2	binary	phesant	303009	58185	127654	175355
1150_1	binary	phesant	303009	58185	195207	107802
1150_3	binary	phesant	303009	58185	283157	19852
1210	binary	phesant	336320	24874	210664	125656
1418_2	binary	phesant	360806	388	125936	234870
1418_1	binary	phesant	360806	388	337904	22902
1418_3	binary	phesant	360806	388	286719	74087
1418_4	binary	phesant	360806	388	347659	13147
1418_5	binary	phesant	360806	388	356593	4213
1418_6	binary	phesant	360806	388	349219	11587
1428_3	binary	phesant	360291	903	169698	190593
1428_0	binary	phesant	360291	903	323712	36579
1428_1	binary	phesant	360291	903	229101	131190
1428_2	binary	phesant	360291	903	358362	1929
1448_3	binary	phesant	348424	12770	147411	201013
1448_1	binary	phesant	348424	12770	256972	91452
1448_2	binary	phesant	348424	12770	306906	41518
1448_4	binary	phesant	348424	12770	333983	14441
1468_3	binary	phesant	299898	61296	223547	76351
1468_1	binary	phesant	299898	61296	249289	50609
1468_2	binary	phesant	299898	61296	246588	53310
1468_4	binary	phesant	299898	61296	238375	61523
1468_5	binary	phesant	299898	61296	241793	58105
1508_2	binary	phesant	283449	77745	125063	158386
1508_1	binary	phesant	283449	77745	228139	55310
1508_3	binary	phesant	283449	77745	218487	64962
1508_4	binary	phesant	283449	77745	278658	4791
1538_0	binary	phesant	360294	900	138926	221368
1538_1	binary	phesant	360294	900	322243	38051
1538_2	binary	phesant	360294	900	259419	100875
1618	binary	phesant	184716	176478	59552	125164
1677	binary	phesant	273743	87451	79905	193838
1707_1	binary	phesant	360913	281	40671	320242
1707_2	binary	phesant	360913	281	326328	34585
1707_3	binary	phesant	360913	281	354827	6086
1747_3	binary	phesant	360270	924	212710	147560
1747_1	binary	phesant	360270	924	319092	41178
1747_2	binary	phesant	360270	924	343655	16615
1747_4	binary	phesant	360270	924	225643	134627
1747_5	binary	phesant	360270	924	344461	15809
1747_6	binary	phesant	360270	924	355789	4481
1767	binary	phesant	360450	744	355292	5158
1777	binary	phesant	355467	5727	347548	7919
1787	binary	phesant	309942	51252	214760	95182
1797	binary	phesant	351538	9656	270309	81229
1835	binary	phesant	355029	6165	214783	140246
1920	binary	phesant	352604	8590	193622	158982
1930	binary	phesant	355182	6012	203430	151752
1940	binary	phesant	345231	15963	248369	96862
1950	binary	phesant	350821	10373	156066	194755
1960	binary	phesant	353764	7430	210432	143332
1970	binary	phesant	351829	9365	268709	83120
1980	binary	phesant	351833	9361	152370	199463
1990	binary	phesant	350159	11035	289646	60513
2000	binary	phesant	346527	14667	181217	165310
2010	binary	phesant	348082	13112	274144	73938
2020	binary	phesant	355583	5611	292075	63508
2030	binary	phesant	351907	9287	251779	100128
2040	binary	phesant	348549	12645	258049	90500
2090	binary	phesant	358693	2501	235165	123528
2100	binary	phesant	359535	1659	318302	41233
2129	binary	phesant	361015	179	29611	331404
2159	binary	phesant	326849	34345	315740	11109
2188	binary	phesant	352798	8396	238000	114798
2207	binary	phesant	360677	517	38909	321768
2227	binary	phesant	360134	1060	308414	51720
2247_0	binary	phesant	346635	14559	90797	255838
2247_1	binary	phesant	346635	14559	255925	90710
2257	binary	phesant	353983	7211	219842	134141
2316	binary	phesant	354523	6671	280695	73828
2335	binary	phesant	357507	3687	301274	56233
2345	binary	phesant	355353	5841	240878	114475
2365	binary	phesant	158108	203086	108649	49459
2395_1	binary	phesant	165649	195545	112573	53076
2395_2	binary	phesant	165649	195545	127605	38044
2395_3	binary	phesant	165649	195545	121345	44304
2395_4	binary	phesant	165649	195545	135424	30225
2415	binary	phesant	165737	195457	59231	106506
2443	binary	phesant	360192	1002	342917	17275
2453	binary	phesant	359981	1213	331472	28509
2463	binary	phesant	359241	1953	324461	34780
2473	binary	phesant	354588	6606	281623	72965
2492	binary	phesant	360027	1167	191034	168993
2644	binary	phesant	97021	264173	52768	44253
2654_7	binary	phesant	190094	171100	125769	64325
2654_2	binary	phesant	190094	171100	161046	29048
2654_4	binary	phesant	190094	171100	166469	23625
2654_5	binary	phesant	190094	171100	189873	221
2654_6	binary	phesant	190094	171100	143064	47030
2654_8	binary	phesant	190094	171100	171059	19035
2654_9	binary	phesant	190094	171100	183284	6810
2664_5	binary	phesant	134033	227161	63424	70609
2664_1	binary	phesant	134033	227161	124521	9512
2664_2	binary	phesant	134033	227161	131043	2990
2664_3	binary	phesant	134033	227161	90165	43868
2664_4	binary	phesant	134033	227161	126979	7054
2724	binary	phesant	163184	198010	43829	119355
2814	binary	phesant	193606	167588	117427	76179
2834	binary	phesant	191515	169679	175886	15629
2844	binary	phesant	192470	168724	63035	129435
2877_1	binary	phesant	89224	271970	10111	79113
2877_2	binary	phesant	89224	271970	83246	5978
2877_3	binary	phesant	89224	271970	85091	4133
2907	binary	phesant	87937	273257	50034	37903
2956	binary	phesant	5473	355721	903	4570
2986	binary	phesant	16415	344779	14416	1999
3005	binary	phesant	34310	326884	13926	20384
3079	binary	phesant	360866	328	359727	1139
3082	binary	phesant	238226	122968	140	238086
3089	binary	phesant	331625	29569	324701	6924
3090	binary	phesant	331625	29569	329201	2424
3159	binary	phesant	33210	327984	28972	4238
3393	binary	phesant	219358	141836	208416	10942
3404	binary	phesant	81276	279918	25120	56156
3414	binary	phesant	40061	321133	8758	31303
3446_1	binary	phesant	27583	333611	8480	19103
3446_2	binary	phesant	27583	333611	21114	6469
3446_3	binary	phesant	27583	333611	25572	2011
3571	binary	phesant	90555	270639	28500	62055
3591	binary	phesant	171413	189781	157440	13973
3606	binary	phesant	55737	305457	46120	9617
3616	binary	phesant	20222	340972	3779	16443
3731	binary	phesant	23745	337449	11181	12564
3741	binary	phesant	29747	331447	13167	16580
3751	binary	phesant	44867	316327	32929	11938
3773	binary	phesant	76000	285194	16186	59814
3799	binary	phesant	70181	291013	38106	32075
3859_5	binary	phesant	12110	349084	6582	5528
3859_1	binary	phesant	12110	349084	8931	3179
