phenotype	variable_type	source	n_non_missing	n_missing	n_controls	n_cases
R30	categorical	icd10	361194	0	360835	359
I60	categorical	icd10	361194	0	360552	642
S06	categorical	icd10	361194	0	360389	805
K37	categorical	icd10	361194	0	360839	355
H73	categorical	icd10	361194	0	361032	162
B34	categorical	icd10	361194	0	360261	933
Z85	categorical	icd10	361194	0	360956	238
I22	categorical	icd10	361194	0	360730	464
D69	categorical	icd10	361194	0	360784	410
S81	categorical	icd10	361194	0	360907	287
J69	categorical	icd10	361194	0	361051	143
J31	categorical	icd10	361194	0	360903	291
F33	categorical	icd10	361194	0	360901	293
Z80	categorical	icd10	361194	0	360817	377
C16	categorical	icd10	361194	0	360806	388
M53	categorical	icd10	361194	0	360852	342
Z50	categorical	icd10	361194	0	360976	218
Z34	categorical	icd10	361194	0	360463	731
D50	categorical	icd10	361194	0	357972	3222
M77	categorical	icd10	361194	0	360199	995
I10	categorical	icd10	361194	0	360407	787
I78	categorical	icd10	361194	0	360904	290
H01	categorical	icd10	361194	0	361042	152
K00	categorical	icd10	361194	0	361071	123
T84	categorical	icd10	361194	0	357475	3719
S02	categorical	icd10	361194	0	359843	1351
K60	categorical	icd10	361194	0	359085	2109
S66	categorical	icd10	361194	0	360405	789
S70	categorical	icd10	361194	0	361065	129
R10	categorical	icd10	361194	0	340954	20240
Z87	categorical	icd10	361194	0	360960	234
R15	categorical	icd10	361194	0	360284	910
N28	categorical	icd10	361194	0	360742	452
D39	categorical	icd10	361194	0	361069	125
O26	categorical	icd10	361194	0	359905	1289
L03	categorical	icd10	361194	0	356947	4247
I73	categorical	icd10	361194	0	360528	666
H74	categorical	icd10	361194	0	360961	233
D07	categorical	icd10	361194	0	360858	336
I83	categorical	icd10	361194	0	352431	8763
M20	categorical	icd10	361194	0	353421	7773
R17	categorical	icd10	361194	0	360862	332
M87	categorical	icd10	361194	0	361003	191
B07	categorical	icd10	361194	0	360757	437
D37	categorical	icd10	361194	0	360458	736
T43	categorical	icd10	361194	0	360502	692
L92	categorical	icd10	361194	0	360856	338
R60	categorical	icd10	361194	0	360967	227
C43	categorical	icd10	361194	0	359522	1672
G37	categorical	icd10	361194	0	360994	200
E11	categorical	icd10	361194	0	360489	705
Z09	categorical	icd10	361194	0	352730	8464
K21	categorical	icd10	361194	0	350451	10743
N61	categorical	icd10	361194	0	360851	343
D44	categorical	icd10	361194	0	361081	113
M31	categorical	icd10	361194	0	360868	326
D12	categorical	icd10	361194	0	352317	8877
H91	categorical	icd10	361194	0	360804	390
H71	categorical	icd10	361194	0	360864	330
G51	categorical	icd10	361194	0	360819	375
M43	categorical	icd10	361194	0	360577	617
M84	categorical	icd10	361194	0	360129	1065
